Name,NationalDex,PrimaryType,SecondaryType,HasSecondaryType,Generation,IsLegendary,Form,AltFormFlag,EvolutionStage,NumOfEvolutions,ColorID,CatchRate,Height_in,Weight_lbs,BaseStatToal,Health,Attack,Defense,SpAttack,SpDefense,Speed
gloom,44,grass,poison,TRUE,generation-i,0,Base,FALSE,2,3,blue,120,31,19,395,60,65,70,85,75,40
vileplume,45,grass,poison,TRUE,generation-i,0,Base,FALSE,3,3,red,45,47,41,490,75,80,85,110,90,50
paras,46,bug,grass,TRUE,generation-i,0,Base,FALSE,1,2,red,190,12,12,285,35,70,55,45,55,25
parasect,47,bug,grass,TRUE,generation-i,0,Base,FALSE,2,2,red,75,39,65,405,60,95,80,60,80,30
venonat,48,bug,poison,TRUE,generation-i,0,Base,FALSE,1,2,purple,190,39,66,305,60,55,50,40,55,45
venomoth,49,bug,poison,TRUE,generation-i,0,Base,FALSE,2,2,purple,75,59,28,450,70,65,60,90,75,90
diglett,50,ground,,FALSE,generation-i,0,Base,FALSE,1,2,brown,255,8,2,265,10,55,25,35,45,95
diglett-alola,50,ground,steel,TRUE,generation-i,0,Alolan,TRUE,1,2,brown,255,8,2,265,10,55,30,35,45,90
dugtrio,51,ground,,FALSE,generation-i,0,Base,FALSE,2,2,brown,50,28,73,425,35,100,50,50,70,120
dugtrio-alola,51,ground,steel,TRUE,generation-i,0,Alolan,TRUE,2,2,brown,50,28,147,425,35,100,60,50,70,110
meowth,52,normal,,FALSE,generation-i,0,Base,FALSE,1,2,yellow,255,16,9,290,40,45,35,40,40,90
meowth-alola,52,dark,,FALSE,generation-i,0,Alolan,TRUE,1,2,yellow,255,16,9,290,40,35,35,50,40,90
meowth-galar,52,steel,,FALSE,generation-i,0,Galarian,TRUE,1,2,yellow,255,16,17,290,50,65,55,40,40,40
persian,53,normal,,FALSE,generation-i,0,Base,FALSE,2,2,yellow,90,39,71,440,65,70,60,65,65,115
persian-alola,53,dark,,FALSE,generation-i,0,Alolan,TRUE,2,2,yellow,90,43,73,440,65,60,60,75,65,115
psyduck,54,water,,FALSE,generation-i,0,Base,FALSE,1,2,yellow,190,31,43,320,50,52,48,65,50,55
golduck,55,water,,FALSE,generation-i,0,Base,FALSE,2,2,blue,75,67,169,500,80,82,78,95,80,85
mankey,56,fighting,,FALSE,generation-i,0,Base,FALSE,1,3,brown,190,20,62,305,40,80,35,35,45,70
primeape,57,fighting,,FALSE,generation-i,0,Base,FALSE,2,3,brown,75,39,71,455,65,105,60,60,70,95
growlithe,58,fire,,FALSE,generation-i,0,Base,FALSE,1,2,brown,190,28,42,350,55,70,45,70,50,60
growlithe-hisui,58,fire,rock,TRUE,generation-i,0,Hisuian,TRUE,1,2,brown,190,31,50,350,60,75,45,65,50,55
arcanine,59,fire,,FALSE,generation-i,0,Base,FALSE,2,2,brown,75,75,342,555,90,110,80,100,80,95
arcanine-hisui,59,fire,rock,TRUE,generation-i,0,Hisuian,TRUE,2,2,brown,75,79,370,555,95,115,80,95,80,90
poliwag,60,water,,FALSE,generation-i,0,Base,FALSE,1,3,blue,255,24,27,300,40,50,40,40,40,90
poliwhirl,61,water,,FALSE,generation-i,0,Base,FALSE,2,3,blue,120,39,44,385,65,65,65,50,50,90
poliwrath,62,water,fighting,TRUE,generation-i,0,Base,FALSE,3,3,blue,45,51,119,510,90,95,95,70,90,70
abra,63,psychic,,FALSE,generation-i,0,Base,FALSE,1,3,brown,200,35,43,310,25,20,15,105,55,90
kadabra,64,psychic,,FALSE,generation-i,0,Base,FALSE,2,3,brown,100,51,125,400,40,35,30,120,70,105
alakazam,65,psychic,,FALSE,generation-i,0,Base,FALSE,3,3,brown,50,59,106,500,55,50,45,135,95,120
alakazam-mega,65,psychic,,FALSE,generation-i,1,Mega,TRUE,3,3,brown,50,47,106,600,55,50,65,175,105,150
machop,66,fighting,,FALSE,generation-i,0,Base,FALSE,1,3,gray,180,31,43,305,70,80,50,35,35,35
machoke,67,fighting,,FALSE,generation-i,0,Base,FALSE,2,3,gray,90,59,155,405,80,100,70,50,60,45
machamp,68,fighting,,FALSE,generation-i,0,Base,FALSE,3,3,gray,45,63,287,505,90,130,80,65,85,55
bellsprout,69,grass,poison,TRUE,generation-i,0,Base,FALSE,1,3,green,255,28,9,300,50,75,35,70,30,40
weepinbell,70,grass,poison,TRUE,generation-i,0,Base,FALSE,2,3,green,120,39,14,390,65,90,50,85,45,55
victreebel,71,grass,poison,TRUE,generation-i,0,Base,FALSE,3,3,green,45,67,34,490,80,105,65,100,70,70
tentacool,72,water,poison,TRUE,generation-i,0,Base,FALSE,1,2,blue,190,35,100,335,40,40,35,50,100,70
tentacruel,73,water,poison,TRUE,generation-i,0,Base,FALSE,2,2,blue,60,63,121,515,80,70,65,80,120,100
geodude,74,rock,ground,TRUE,generation-i,0,Base,FALSE,1,3,brown,255,16,44,300,40,80,100,30,30,20
geodude-alola,74,rock,electric,TRUE,generation-i,0,Alolan,TRUE,1,3,brown,255,16,45,300,40,80,100,30,30,20
graveler,75,rock,ground,TRUE,generation-i,0,Base,FALSE,2,3,brown,120,39,231,390,55,95,115,45,45,35
graveler-alola,75,rock,electric,TRUE,generation-i,0,Alolan,TRUE,2,3,brown,120,39,243,390,55,95,115,45,45,35
golem,76,rock,ground,TRUE,generation-i,0,Base,FALSE,3,3,brown,45,55,661,495,80,120,130,55,65,45
golem-alola,76,rock,electric,TRUE,generation-i,0,Alolan,TRUE,3,3,brown,45,67,697,495,80,120,130,55,65,45
ponyta,77,fire,,FALSE,generation-i,0,Base,FALSE,1,2,yellow,190,39,66,410,50,85,55,65,65,90
ponyta-galar,77,psychic,,FALSE,generation-i,0,Galarian,TRUE,1,2,yellow,190,31,53,410,50,85,55,65,65,90
rapidash,78,fire,,FALSE,generation-i,0,Base,FALSE,2,2,yellow,60,67,209,500,65,100,70,80,80,105
rapidash-galar,78,psychic,fairy,TRUE,generation-i,0,Galarian,TRUE,2,2,yellow,60,67,176,500,65,100,70,80,80,105
slowpoke,79,water,psychic,TRUE,generation-i,0,Base,FALSE,1,2,pink,190,47,79,315,90,65,65,40,40,15
slowpoke-galar,79,psychic,,FALSE,generation-i,0,Galarian,TRUE,1,2,pink,190,47,79,315,90,65,65,40,40,15
slowbro,80,water,psychic,TRUE,generation-i,0,Base,FALSE,2,2,pink,75,63,173,490,95,75,110,100,80,30
slowbro-mega,80,water,psychic,TRUE,generation-i,1,Mega,TRUE,2,2,pink,75,79,265,590,95,75,180,130,80,30
slowbro-galar,80,poison,psychic,TRUE,generation-i,0,Galarian,TRUE,2,2,pink,75,63,155,490,95,100,95,100,70,30
magnemite,81,electric,steel,TRUE,generation-i,0,Base,FALSE,1,3,gray,190,12,13,325,25,35,70,95,55,45
magneton,82,electric,steel,TRUE,generation-i,0,Base,FALSE,2,3,gray,60,39,132,465,50,60,95,120,70,70
farfetchd,83,normal,flying,TRUE,generation-i,0,Base,FALSE,1,2,brown,45,31,33,377,52,90,55,58,62,60
farfetchd-galar,83,fighting,,FALSE,generation-i,0,Galarian,TRUE,1,2,brown,45,31,93,377,52,95,55,58,62,55
doduo,84,normal,flying,TRUE,generation-i,0,Base,FALSE,1,2,brown,190,55,86,310,35,85,45,35,35,75
dodrio,85,normal,flying,TRUE,generation-i,0,Base,FALSE,2,2,brown,45,71,188,470,60,110,70,60,60,110
seel,86,water,,FALSE,generation-i,0,Base,FALSE,1,2,white,190,43,198,325,65,45,55,45,70,45
dewgong,87,water,ice,TRUE,generation-i,0,Base,FALSE,2,2,white,75,67,265,475,90,70,80,70,95,70
grimer,88,poison,,FALSE,generation-i,0,Base,FALSE,1,2,purple,190,35,66,325,80,80,50,40,50,25
grimer-alola,88,poison,dark,TRUE,generation-i,0,Alolan,TRUE,1,2,purple,190,28,93,325,80,80,50,40,50,25
muk,89,poison,,FALSE,generation-i,0,Base,FALSE,2,2,purple,75,47,66,500,105,105,75,65,100,50
muk-alola,89,poison,dark,TRUE,generation-i,0,Alolan,TRUE,2,2,purple,75,39,115,500,105,105,75,65,100,50
shellder,90,water,,FALSE,generation-i,0,Base,FALSE,1,2,purple,190,12,9,305,30,65,100,45,25,40
cloyster,91,water,ice,TRUE,generation-i,0,Base,FALSE,2,2,purple,60,59,292,525,50,95,180,85,45,70
gastly,92,ghost,poison,TRUE,generation-i,0,Base,FALSE,1,3,purple,190,51,0,310,30,35,30,100,35,80
haunter,93,ghost,poison,TRUE,generation-i,0,Base,FALSE,2,3,purple,90,63,0,405,45,50,45,115,55,95
gengar,94,ghost,poison,TRUE,generation-i,0,Base,FALSE,3,3,purple,45,59,89,500,60,65,60,130,75,110
gengar-mega,94,ghost,poison,TRUE,generation-i,1,Mega,TRUE,3,3,purple,45,55,89,600,60,65,80,170,95,130
onix,95,rock,ground,TRUE,generation-i,0,Base,FALSE,1,2,gray,45,346,463,385,35,45,160,30,45,70
drowzee,96,psychic,,FALSE,generation-i,0,Base,FALSE,1,2,yellow,190,39,71,328,60,48,45,43,90,42
hypno,97,psychic,,FALSE,generation-i,0,Base,FALSE,2,2,yellow,75,63,167,483,85,73,70,73,115,67
krabby,98,water,,FALSE,generation-i,0,Base,FALSE,1,2,red,225,16,14,325,30,105,90,25,25,50
kingler,99,water,,FALSE,generation-i,0,Base,FALSE,2,2,red,60,51,132,475,55,130,115,50,50,75
voltorb,100,electric,,FALSE,generation-i,0,Base,FALSE,1,2,red,190,20,23,330,40,30,50,55,55,100
voltorb-hisui,100,electric,grass,TRUE,generation-i,0,Hisuian,TRUE,1,2,red,190,20,29,330,40,30,50,55,55,100
electrode,101,electric,,FALSE,generation-i,0,Base,FALSE,2,2,red,60,47,147,490,60,50,70,80,80,150
electrode-hisui,101,electric,grass,TRUE,generation-i,0,Hisuian,TRUE,2,2,red,60,47,157,490,60,50,70,80,80,150
exeggcute,102,grass,psychic,TRUE,generation-i,0,Base,FALSE,1,2,pink,90,16,6,325,60,40,80,60,45,40
exeggutor,103,grass,psychic,TRUE,generation-i,0,Base,FALSE,2,2,yellow,45,79,265,530,95,95,85,125,75,55
exeggutor-alola,103,grass,dragon,TRUE,generation-i,0,Alolan,TRUE,2,2,yellow,45,429,916,530,95,105,85,125,75,45
cubone,104,ground,,FALSE,generation-i,0,Base,FALSE,1,2,brown,190,16,14,320,50,50,95,40,50,35
marowak,105,ground,,FALSE,generation-i,0,Base,FALSE,2,2,brown,75,39,99,425,60,80,110,50,80,45
marowak-alola,105,fire,ghost,TRUE,generation-i,0,Alolan,TRUE,2,2,brown,75,39,75,425,60,80,110,50,80,45
marowak-totem,105,fire,ghost,TRUE,generation-i,0,Totem,TRUE,2,2,brown,75,67,216,425,60,80,110,50,80,45
hitmonlee,106,fighting,,FALSE,generation-i,0,Base,FALSE,2,2,brown,45,59,110,455,50,120,53,35,110,87
hitmonchan,107,fighting,,FALSE,generation-i,0,Base,FALSE,2,2,brown,45,55,111,455,50,105,79,35,110,76
lickitung,108,normal,,FALSE,generation-i,0,Base,FALSE,1,2,pink,45,47,144,385,90,55,75,60,75,30
koffing,109,poison,,FALSE,generation-i,0,Base,FALSE,1,2,purple,190,24,2,340,40,65,95,60,45,35
weezing,110,poison,,FALSE,generation-i,0,Base,FALSE,2,2,purple,60,47,21,490,65,90,120,85,70,60
weezing-galar,110,poison,fairy,TRUE,generation-i,0,Galarian,TRUE,2,2,purple,60,118,35,490,65,90,120,85,70,60
rhyhorn,111,ground,rock,TRUE,generation-i,0,Base,FALSE,1,3,gray,120,39,254,345,80,85,95,30,30,25
rhydon,112,ground,rock,TRUE,generation-i,0,Base,FALSE,2,3,gray,60,75,265,485,105,130,120,45,45,40
chansey,113,normal,,FALSE,generation-i,0,Base,FALSE,2,3,pink,30,43,76,450,250,5,5,35,105,50
tangela,114,grass,,FALSE,generation-i,0,Base,FALSE,1,2,blue,45,39,77,435,65,55,115,100,40,60
kangaskhan,115,normal,,FALSE,generation-i,0,Base,FALSE,1,1,brown,45,87,176,490,105,95,80,40,80,90
kangaskhan-mega,115,normal,,FALSE,generation-i,1,Mega,TRUE,1,1,brown,45,87,220,590,105,125,100,60,100,100
horsea,116,water,,FALSE,generation-i,0,Base,FALSE,1,3,blue,225,16,18,295,30,40,70,70,25,60
seadra,117,water,,FALSE,generation-i,0,Base,FALSE,2,3,blue,75,47,55,440,55,65,95,95,45,85
goldeen,118,water,,FALSE,generation-i,0,Base,FALSE,1,2,red,225,24,33,320,45,67,60,35,50,63
seaking,119,water,,FALSE,generation-i,0,Base,FALSE,2,2,red,60,51,86,450,80,92,65,65,80,68
staryu,120,water,,FALSE,generation-i,0,Base,FALSE,1,2,brown,225,31,76,340,30,45,55,70,55,85
starmie,121,water,psychic,TRUE,generation-i,0,Base,FALSE,2,2,purple,60,43,176,520,60,75,85,100,85,115
mr-mime,122,psychic,fairy,TRUE,generation-i,0,Base,FALSE,2,3,pink,45,51,120,460,40,45,65,100,120,90
mr-mime-galar,122,ice,psychic,TRUE,generation-i,0,Galarian,TRUE,2,3,pink,45,55,125,460,50,65,65,90,90,100
scyther,123,bug,flying,TRUE,generation-i,0,Base,FALSE,1,2,green,45,59,123,500,70,110,80,55,80,105
jynx,124,ice,psychic,TRUE,generation-i,0,Base,FALSE,2,2,red,45,55,90,455,65,50,35,115,95,95
electabuzz,125,electric,,FALSE,generation-i,0,Base,FALSE,2,3,yellow,45,43,66,490,65,83,57,95,85,105
magmar,126,fire,,FALSE,generation-i,0,Base,FALSE,2,3,red,45,51,98,495,65,95,57,100,85,93
pinsir,127,bug,,FALSE,generation-i,0,Base,FALSE,1,1,brown,45,59,121,500,65,125,100,55,70,85
pinsir-mega,127,bug,flying,TRUE,generation-i,1,Mega,TRUE,1,1,brown,45,67,130,600,65,155,120,65,90,105
tauros,128,normal,,FALSE,generation-i,0,Base,FALSE,1,1,brown,45,55,195,490,75,100,95,40,70,110
tauros-paldea-combat-breed,128,fighting,,FALSE,generation-i,0,Paldean,TRUE,1,1,brown,45,55,254,490,75,110,105,30,70,100
tauros-paldea-blaze-breed,128,fighting,fire,TRUE,generation-i,0,Paldean,TRUE,1,1,brown,45,55,187,490,75,110,105,30,70,100
tauros-paldea-aqua-breed,128,fighting,water,TRUE,generation-i,0,Paldean,TRUE,1,1,brown,45,55,243,490,75,110,105,30,70,100
magikarp,129,water,,FALSE,generation-i,0,Base,FALSE,1,2,red,255,35,22,200,20,10,55,15,20,80
gyarados,130,water,flying,TRUE,generation-i,0,Base,FALSE,2,2,blue,45,256,518,540,95,125,79,60,100,81
gyarados-mega,130,water,dark,TRUE,generation-i,1,Mega,TRUE,2,2,blue,45,256,672,640,95,155,109,70,130,81
lapras,131,water,ice,TRUE,generation-i,0,Base,FALSE,1,1,blue,45,98,485,535,130,85,80,85,95,60
ditto,132,normal,,FALSE,generation-i,0,Base,FALSE,1,1,purple,35,12,9,288,48,48,48,48,48,48
eevee,133,normal,,FALSE,generation-i,0,Base,FALSE,1,2,brown,45,12,14,325,55,55,50,45,65,55
eevee-starter,133,normal,,FALSE,generation-i,0,Starter,TRUE,1,2,brown,45,12,14,435,65,75,70,65,85,75
vaporeon,134,water,,FALSE,generation-i,0,Base,FALSE,2,2,blue,45,39,64,525,130,65,60,110,95,65
jolteon,135,electric,,FALSE,generation-i,0,Base,FALSE,2,2,yellow,45,31,54,525,65,65,60,110,95,130
flareon,136,fire,,FALSE,generation-i,0,Base,FALSE,2,2,red,45,35,55,525,65,130,60,95,110,65
porygon,137,normal,,FALSE,generation-i,0,Base,FALSE,1,3,pink,45,31,80,395,65,60,70,85,75,40
omanyte,138,rock,water,TRUE,generation-i,0,Base,FALSE,1,2,blue,45,16,17,355,35,40,100,90,55,35
omastar,139,rock,water,TRUE,generation-i,0,Base,FALSE,2,2,blue,45,39,77,495,70,60,125,115,70,55
kabuto,140,rock,water,TRUE,generation-i,0,Base,FALSE,1,2,brown,45,20,25,355,30,80,90,55,45,55
kabutops,141,rock,water,TRUE,generation-i,0,Base,FALSE,2,2,brown,45,51,89,495,60,115,105,65,70,80
aerodactyl,142,rock,flying,TRUE,generation-i,0,Base,FALSE,1,1,purple,45,71,130,515,80,105,65,60,75,130
aerodactyl-mega,142,rock,flying,TRUE,generation-i,1,Mega,TRUE,1,1,purple,45,83,174,615,80,135,85,70,95,150
snorlax,143,normal,,FALSE,generation-i,0,Base,FALSE,2,2,black,25,83,1014,540,160,110,65,65,110,30
articuno,144,ice,flying,TRUE,generation-i,1,Base,FALSE,1,1,blue,3,67,122,580,90,85,100,95,125,85
articuno-galar,144,psychic,flying,TRUE,generation-i,1,Galarian,TRUE,1,1,blue,3,67,112,580,90,85,85,125,100,95
zapdos,145,electric,flying,TRUE,generation-i,1,Base,FALSE,1,1,yellow,3,63,116,580,90,90,85,125,90,100
zapdos-galar,145,fighting,flying,TRUE,generation-i,1,Galarian,TRUE,1,1,yellow,3,63,128,580,90,125,90,85,90,100
moltres,146,fire,flying,TRUE,generation-i,1,Base,FALSE,1,1,yellow,3,79,132,580,90,100,90,125,85,90
moltres-galar,146,dark,flying,TRUE,generation-i,1,Galarian,TRUE,1,1,yellow,3,79,146,580,90,85,90,100,125,90
dratini,147,dragon,,FALSE,generation-i,0,Base,FALSE,1,3,blue,45,71,7,300,41,64,45,50,50,50
dragonair,148,dragon,,FALSE,generation-i,0,Base,FALSE,2,3,blue,45,157,36,420,61,84,65,70,70,70
dragonite,149,dragon,flying,TRUE,generation-i,0,Base,FALSE,3,3,brown,45,87,463,600,91,134,95,100,100,80
mewtwo,150,psychic,,FALSE,generation-i,1,Base,FALSE,1,1,purple,3,79,269,680,106,110,90,154,90,130
mewtwo-mega-x,150,psychic,fighting,TRUE,generation-i,1,Mega X,TRUE,1,1,purple,3,91,280,780,106,190,100,154,100,130
mewtwo-mega-y,150,psychic,,FALSE,generation-i,1,Mega Y,TRUE,1,1,purple,3,59,73,780,106,150,70,194,120,140
mew,151,psychic,,FALSE,generation-i,1,Base,FALSE,1,1,pink,45,16,9,600,100,100,100,100,100,100
chikorita,152,grass,,FALSE,generation-ii,0,Base,FALSE,1,3,green,45,35,14,318,45,49,65,49,65,45
bayleef,153,grass,,FALSE,generation-ii,0,Base,FALSE,2,3,green,45,47,35,405,60,62,80,63,80,60
meganium,154,grass,,FALSE,generation-ii,1,Base,FALSE,3,3,green,45,71,222,525,80,82,100,83,100,80
cyndaquil,155,fire,,FALSE,generation-ii,0,Base,FALSE,1,3,yellow,45,20,17,309,39,52,43,60,50,65
quilava,156,fire,,FALSE,generation-ii,0,Base,FALSE,2,3,yellow,45,35,42,405,58,64,58,80,65,80
typhlosion,157,fire,,FALSE,generation-ii,0,Base,FALSE,3,3,yellow,45,67,175,534,78,84,78,109,85,100
typhlosion-hisui,157,fire,ghost,TRUE,generation-ii,0,Hisuian,TRUE,3,3,yellow,45,63,154,534,73,84,78,119,85,95
totodile,158,water,,FALSE,generation-ii,0,Base,FALSE,1,3,blue,45,24,21,314,50,65,64,44,48,43
croconaw,159,water,,FALSE,generation-ii,0,Base,FALSE,2,3,blue,45,43,55,405,65,80,80,59,63,58
feraligatr,160,water,,FALSE,generation-ii,0,Base,FALSE,3,3,blue,45,91,196,530,85,105,100,79,83,78
sentret,161,normal,,FALSE,generation-ii,0,Base,FALSE,1,2,brown,255,31,13,215,35,46,34,35,45,20
furret,162,normal,,FALSE,generation-ii,0,Base,FALSE,2,2,brown,90,71,72,415,85,76,64,45,55,90
hoothoot,163,normal,flying,TRUE,generation-ii,0,Base,FALSE,1,2,brown,255,28,47,262,60,30,30,36,56,50
noctowl,164,normal,flying,TRUE,generation-ii,0,Base,FALSE,2,2,brown,90,63,90,452,100,50,50,86,96,70
ledyba,165,bug,flying,TRUE,generation-ii,0,Base,FALSE,1,2,red,255,39,24,265,40,20,30,40,80,55
ledian,166,bug,flying,TRUE,generation-ii,0,Base,FALSE,2,2,red,90,55,78,390,55,35,50,55,110,85
spinarak,167,bug,poison,TRUE,generation-ii,0,Base,FALSE,1,2,green,255,20,19,250,40,60,40,40,40,30
ariados,168,bug,poison,TRUE,generation-ii,0,Base,FALSE,2,2,red,90,43,74,400,70,90,70,60,70,40
crobat,169,poison,flying,TRUE,generation-ii,0,Base,FALSE,3,3,purple,90,71,165,535,85,90,80,70,80,130
chinchou,170,water,electric,TRUE,generation-ii,0,Base,FALSE,1,2,blue,190,20,26,330,75,38,38,56,56,67
lanturn,171,water,electric,TRUE,generation-ii,0,Base,FALSE,2,2,blue,75,47,50,460,125,58,58,76,76,67
